"_id","_labels","chunk_index","embedding","id","index","name","text","weather","_start","_end","_type","fromYear"
"0",":Document","","","a55757b83bcabeabc6f870733e2fdeea","","","© Crown copyright 2010 16
AAIB Bulletin: 11/2010 C-FAKB EW/C2010/02/01
ACCIDENT
Aircraft Type and Registration: De Havilland Canada DHC-6 300 Twin Otter, C-FAKB
No & Type of Engines: 2 Pratt & Whitney PT6A-27 turboprop engines
Year of Manufacture: 1969 serial number 273
Date & Time (UTC): 24 February 2010 at 0057 hrs
Location: London Gatwick Airport
Type of Flight: Ferry flight
Persons on Board: Crew - 2 Passengers - None
Injuries: Crew - None Passengers - N/A
Nature of Damage: Electrical fire in cabin
Commanders Licence: Air Transport Pilots Licence
Commanders Age: 38 years
Commanders Flying Experience: 10,018 hours (of which 8,560 hours were on type)
Last 90 days - 95 hours
Last 28 days - 23 hours
Information Source: AAIB Field Investigation
Synopsis","",,,,
"1",":Event:__Entity__","","","Accident","","","","",,,,
"2",":Persons on Board:__Entity__","","","Crew","","","","",,,,
"3",":Aircraft Type:__Entity__","","","De Havilland Canada DHC-6 300 Twin Otter","","","","",,,,
"4",":Count:__Entity__","","","2","","","","",,,,
"5",":Engines:__Entity__","","","2 Pratt & Whitney PT6A-27 turboprop engines","","","","",,,,
"6",":Hours:__Entity__","","","23 hours","","","","",,,,
"7",":License:__Entity__","","","Air Transport Pilots Licence","","","","",,,,
"8",":Person:__Entity__","","","Commander","","","","",,,,
"9",":Year:__Entity__","","","1969","","","","",,,,
"10",":Aircraft:Registration:__Entity__","","","C-FAKB","","","","",,,,
"11",":Location:__Entity__","","","London Gatwick Airport","","","","",,,,
"12",":Persons on Board:__Entity__","","","Passengers","","","","",,,,
"13",":Experience:__Entity__","","","10,018 hours (of which 8,560 hours were on type)","","","","",,,,
"14",":Serial Number:__Entity__","","","273","","","","",,,,
"15",":Flight Type:__Entity__","","","Ferry flight","","","","",,,,
"16",":Count:__Entity__","","","None","","","","",,,,
"17",":Damage Type:__Entity__","","","Electrical fire in cabin","","","","",,,,
"18",":Hours:__Entity__","","","95 hours","","","","",,,,
"19",":Age:__Entity__","","","38 years","","","","",,,,
"20",":Document","","","957e5f7dd6f4ec2792731bb18fb963f4","","","Synopsis
During a ferry flight from Calgary, Canada to the Maldives, an electrical fire started in the power distribution and generator control box located in the roof of the passenger cabin. The crew isolated the electrical systems and successfully diverted to London Gatwick Airport. The source of the fire was traced to the left generator reverse current relay, which was found to have a different part number to the relays authorised for use on the DHC-6 series of aircraft.
Five Safety Recommendations were made.
Background information","",,,,
"21",":System:__Entity__","","","electrical systems","","","","",,,,
"22",":Event:__Entity__","","","incident","","","","",,,,
"23",":Event:Incident:Situation:__Entity__","","","electrical fire","","","","",,,,
"24",":Cause:__Entity__","","","source of the fire","","","","",,,,
"25",":Group:Group of People:Person:__Entity__","","","crew","","","","",,,,
"26",":Event:__Entity__","","","ferry flight","","","","",,,,
"27",":Equipment:__Entity__","","","relays authorised for use on the DHC-6 series of aircraft","","","","",,,,
"28",":Box:Component:Equipment:Location:__Entity__","","","power distribution and generator control box","","","","",,,,
"29",":Equipment:__Entity__","","","left generator reverse current relay","","","","",,,,
"30",":Document:__Entity__","","","Five Safety Recommendations","","","","",,,,
"31",":Location:__Entity__","","","Calgary, Canada to the Maldives","","","","",,,,
"32",":Document","","","f0f81d7287be23a6729b84684f91b3a8","","","Background information
C-FAKB was going to make a series of positioning flights starting from Calgary, Canada, finishing in the Maldives. The passenger seats were removed from the aircraft to create space for two 925 litre fuel tanks, which were attached to the floor rails in the cabin and connected to the main fuel system. Two 45 gallon drums were secured to the rear bulkhead in the cabin and one was secured to the floor points behind the forward bulkhead. The drums were filled with fuel, which was to be manually transferred to the 925 litre tanks if unfavourable headwinds were experienced during any of the long over-water legs. Immediately behind the flight deck, on the right side, was an oxygen cylinder, which provided supplementary oxygen to the crew through two
© Crown copyright 2010 17
AAIB Bulletin: 11/2010 C-FAKB EW/C2010/02/01
constant-flow nasal cannula hoses. This allowed the unpressurised aircraft to operate at higher flight levels than would otherwise have been the case.","",,,,
"33",":Location:__Entity__","","","Maldives","","","","",,,,
"34",":Location:__Entity__","","","rear bulkhead in the cabin","","","","",,,,
"35",":Equipment:__Entity__","","","925 litre fuel tanks","","","","",,,,
"36",":Equipment:__Entity__","","","oxygen cylinder","","","","",,,,
"37",":Purpose:__Entity__","","","positioning flights","","","","",,,,
"38",":Location:__Entity__","","","Calgary, Canada","","","","",,,,
"39",":Location:__Entity__","","","flight deck, on the right side","","","","",,,,
"40",":System:__Entity__","","","main fuel system","","","","",,,,
"41",":Equipment:__Entity__","","","45 gallon drums","","","","",,,,
"42",":Location:__Entity__","","","floor points behind the forward bulkhead","","","","",,,,
"43",":Function:__Entity__","","","supplementary oxygen to the crew","","","","",,,,
"44",":Equipment:__Entity__","","","925 litre tanks","","","","",,,,
"45",":Component:__Entity__","","","passenger seats","","","","",,,,
"46",":Substance:__Entity__","","","fuel","","","","",,,,
"47",":Document","","","d106634e9c6c60fc1baca6d929c836b3","","","The first leg, from Calgary to Iqualuit, was planned for 20 February 2010. After starting the right engine, the crew noticed that the right generator caution light failed to illuminate after the start switch was released and so the engine was shut down in accordance with the Emergency Checklist. Following work by engineers to diagnose the problem, it was decided to replace the right engine reverse current relay (RCR) and, when the rectification work was complete, the generator functioned correctly.
The aircraft flew three flights, during which the crew experienced no further problems, and at the end of the third flight it landed at Birmingham Airport.
History of the flight","",,,,
"48",":Object:Vehicle:__Entity__","","","aircraft","","","","",,,,
